prostor,lastnost,vrednost,št. sklicev,opis
S000009,P000089,True,0,"

Let $f:X \rightarrow X$ be a continuous selfmap and $p \in X$ be the included point.
If $f$ is a constant function then it has a fixed point.
Otherwise, it must be that $f(p) = p$, as if were not, then $X\setminus {f(p)}$ would be open
yet $f^{-1}(X\setminus {f(p)}) \not\ni p$ would not be, making $f$ not continuous.
"
S000009,P000090,True,1,"

Every point $x$ has $\{x,p\}$ as smallest neighborhood (where $p=0$ is the particular point).

See space #10 in {{doi:10.1007/978-1-4612-6290-9}}.
"
S000009,P000126,True,1,"

Every set containing $p$ is open and every set not containing $p$ is closed.
"
S000009,P000198,False,0,"

Let $p$ be the particular point. $X\setminus\{p\}$ is an uncountable, closed and discrete subspace.
"
S000009,P000205,False,0,"

Removing any point other than the particular point from $X$ results in a space homeomorphic to $X$
and {S9|P36}.
"
S000010,P000125,True,0,"

By construction.
"
S000010,P000175,False,0,"

By construction
"
S000010,P000196,True,1,"

The open sets form a chain under inclusion.
"
S000010,P000201,True,0,"

This space has a particular point topology. The particular point is a generic point.
"
S000010,P000203,True,0,"

By inspection.
"
S000011,P000001,True,1,"

Any $x \in X \setminus \{p\}$ is isolated.

See item #2 for space #13 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000011,P000002,False,1,"

There is no open set separating $p$ from any $x \in X \setminus p$

See item #2 for space #13 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000011,P000010,True,0,"

$\{1\}, \{2\}, X$ form a basis for the topology. $X$ is clearly regular open. $\text{int}(\text{cl}(\{1\})) = \text{int}(\{0, 1\}) = \{1\}$ is regular open, and similarly for $\{2\}$.
"
S000011,P000014,True,1,"

$p$ is in the closure of any subset of $X$, so if $A,B \subset X$ are separated then necessarily $A,B \subset X \setminus \{p\}$ and are both already open.

See item #2 for space #13 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000011,P000039,False,1,"

Any distinct $x,y \in X \setminus \{p\}$ are disjoint isolated points.

See item #3 for space #13 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000011,P000045,True,1,"

Essentially by construction, $X \setminus \{p\}$ is discrete.

See item #5 for space #13 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000011,P000078,True,1,"

By definition.
"
S000011,P000089,True,0,"

Let $f:X \rightarrow X$ be a continuous selfmap and $p \in X$ be the excluded point.
If $f$ is a constant function then it has a fixed point.
Otherwise, it must be that $f(p) = p$, as if were not, then $X\setminus {f(p)}$ would be closed
yet $f^{-1}(X\setminus {f(p)}) \not\ni p$ would not be, making $f$ not continuous.
"
S000011,P000175,True,0,"

By construction
"
S000011,P000176,False,0,"

By construction
"
S000011,P000202,True,1,"

Any nonempty closed set must contain the point $p$.

See item #3 for space #13 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000011,P000203,True,0,"

All points except $p$ are isolated.
"
S000012,P000089,True,0,"

Let $f:X \rightarrow X$ be a continuous selfmap and $p \in X$ be the excluded point.
If $f$ is a constant function then it has a fixed point.
Otherwise, it must be that $f(p) = p$, as if were not, then $X\setminus {f(p)}$ would be closed
yet $f^{-1}(X\setminus {f(p)}) \not\ni p$ would not be, making $f$ not continuous.
"
S000012,P000090,True,1,"

Let $p=0$ be the excluded point.  The smallest neighborhood of $p$ is $X$.  For $x\ne p$ the smallest neighborhood of $x$ is $\{x\}$.

See space #14 in {{doi:10.1007/978-1-4612-6290-9}}.
"
S000012,P000181,True,0,"

By definition.
"
S000012,P000203,True,0,"

Every point except the excluded point is isolated. The excluded point is not isolated.
"
S000013,P000029,False,1,"

If $p$ is the excluded point, $ \{ \{x\}\ |\ x \neq p\} $ is an uncountable, pairwise disjoint collection of open sets.

Asserted in the General Reference Chart for space #15 in
{{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000013,P000065,True,0,"

By definition.
"
S000013,P000089,True,0,"

Let $f:X \rightarrow X$ be a continuous selfmap and $p \in X$ be the excluded point.
If $f$ is a constant function then it has a fixed point.
Otherwise, it must be that $f(p) = p$, as if were not, then $X\setminus {f(p)}$ would be closed
yet $f^{-1}(X\setminus {f(p)}) \not\ni p$ would not be, making $f$ not continuous.
"
S000013,P000090,True,1,"

Let $p=0$ be the excluded point.  The smallest neighborhood of $p$ is $X$.  For $x\ne p$ the smallest neighborhood of $x$ is $\{x\}$.

See space #15 in {{doi:10.1007/978-1-4612-6290-9}}.
"
S000013,P000203,True,0,"

Every point except the excluded point is isolated. The excluded point is not isolated.
"
S000014,P000016,True,1,"

Let $\mathcal{U}$ be an open cover. There exists an open set $A \in \mathcal{U}$ with $0 \in A$, from which it follows that $(-1,1) \in A$. Since $\mathcal{U}$ is a cover, there must also be (not necessarily distinct) sets $B$ and $C$ with $-1 \in B$ and $1 \in C$. The collection $\{A, B, C\}$ is therefore a finite subcover of $\mathcal{U}$.

See item #2 for space #17 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000014,P000029,False,1,"

$\{ \{x\}\ |\ x \neq 0\}$ is an uncountable, pairwise disjoint collection of open sets.

Asserted in the General Reference Chart for space #17 in
{{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000014,P000036,False,1,"

$X = \{-1\} \cup (-1,1]$ is a separation of $X$.

Asserted in the General Reference Chart for space #17 in
{{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000014,P000043,False,1,"


See item #4 for space #17 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000014,P000049,False,0,"

If $x\in (-1, 1)\setminus \{0\}$ then $\{x\}$ is open but $\overline{\{x\}} = \{x, 0\}$ is not open.
"
S000014,P000065,True,1,"

$|X| = \mathfrak{c}$ by definition.

Asserted in the General Reference Chart for space #17 in
{{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000014,P000090,True,1,"

The smallest neighborhood of $0$ is $(-1,1)$.  For $x\ne 0$ the smallest neighborhood of $x$ is $\{x\}$.

See space #17 in {{doi:10.1007/978-1-4612-6290-9}}.
"
S000014,P000203,True,0,"

Every point is isolated except for $0$.
"
S000015,P000002,True,1,"

See item #5 for space #18 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000015,P000039,True,1,"

Since nonempty open sets are co-finite.

See item #6 for space #18 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000015,P000044,False,1,"

$X$ can be written as the disjoint union of two infinite sets, each of which are clearly homeomorphic to $X$ and thus connected. #

Asserted in the General Reference Chart for space #18 in
{{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000015,P000057,True,1,"

By definition.

Asserted in the General Reference Chart for space #18 in
{{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000015,P000086,True,0,"

Follows by construction.
"
S000015,P000089,False,0,"

Any permutation of the space is a self-homeomorphism, as bijections preserve cardinality of sets and therefore openness. Thus, any derangement is a selfmap with no fixed points.
"
S000015,P000101,False,1,"

See {{mathse:3330529}}.
"
S000015,P000110,True,0,"

Let $\mathcal{U}_n = \{\{m\}\cup\{k\in \omega : k\geq n\}:m\in \omega\}$, which is an open cover of $X$. Then $\text{St}(x, \mathcal{U}_n)= \begin{cases} \omega, & \text{if }x\geq n \\ \{x\}\cup \{k : k\geq n\}, & \text{if }x < n \end{cases}$, so that $(\text{St}(x, \mathcal{U}_n))_{n\geq 0}$ is a local base at $x\in \omega$.
"
S000015,P000138,False,1,"

Every bijection $f:X\to X$ is a homeomorphism and by {{mo:27785}} there is $\mathfrak{c}$ many such bijections.
"
S000015,P000142,False,0,"

An infinite subset $A\subseteq X$ is homeomorphic to $X$ since any bijection $A\to X$ is a homeomorphism. Since {S15|P3}, it follows that the compact Hausdorff subsets of $X$ are the finite subsets, which have the discrete topology. Therefore if $A\subseteq X$ then $A\cap K$ is open in $K$ for all Hausdorff compact $K$. Taking any $A$ which isn't open shows that $X$ is not a $k_3$-space."
S000015,P000208,True,0,"

The closed sets satisfy the descending chain condition, because all closed sets are finite except $X$.
"
S000016,P000002,True,1,"

Let $ x\in{X} $ then $ |\{x\}|=1 $ and thus $ X\backslash{\{x\}} $ have finite complement meaning that $ X\backslash{\{x\}} $ is open and thus $ {x} $ is closed meaning that $X$ is $ T_1 $.

See item #5 for space #19 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000016,P000038,True,1,"

Given distinct $a,b \in X$, let $f:[0,1]\to X$ be any bijection with $f(0)=a$ and $f(1)=b$.
Then $f$ is an injective path from $a$ to $b$.

See item #11 for space #19 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000016,P000039,True,1,"

The intersection of two cofinite sets in $X$ is cofinite, hence not empty.

See item #6 for space #19 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000016,P000043,True,1,"

Every nonempty open set $U\subseteq X$ is homeomorphic to $X$,
and {S16|P38}.

See item #11 for space #19 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000016,P000065,True,1,"

By definition.
"
S000016,P000086,True,1,"

Every permutation of $X$ is a homeomorphism of $X$ onto itself.
"
S000016,P000089,False,0,"

Any permutation of the space is a self-homeomorphism, as bijections preserve cardinality of sets and therefore openness. Thus, any derangement is a selfmap with no fixed points.
"
S000016,P000095,False,0,"

If $f:[0,1]\to X$ is an injective map, the image $A=f([0,1])$ is homeomorphic to $X$.
Thus $A$ is not homeomorphic to $[0,1]$,
for example because {S16|P39}.
"
S000016,P000096,False,0,"

Every nonempty open set $U\subseteq X$ is homeomorphic to $X$,
and {S16|P95}.
"
S000016,P000101,False,0,"

The map $f:X\to X$ given by $f(x) = |x|$ is a retraction, but $[0, \infty)\subseteq X$ isn't closed."
S000016,P000104,True,1,"

See the second part of {{mathse:5016336}}."
S000016,P000142,False,0,"

An infinite subset $A\subseteq X$ contains {S15} as a subspace. Since {S15|P3}, it follows that the compact Hausdorff subsets of $X$ are the finite subsets, which have the discrete topology. Therefore if $A\subseteq X$ then $A\cap K$ is open in $K$ for all Hausdorff compact $K$. Taking any $A$ which isn't open shows that $X$ is not a $k_3$-space."
S000016,P000151,True,0,"

{S17|P151}, {S16} is
coaser than {S17}, and {P151} passes to coarser topologies.
"
S000016,P000182,True,0,"

This space has a coarser topology than {S25} and {S25|P182}. Furthermore, any network for a space remains a network for any coarser topology on the underlying set.
"
S000016,P000187,True,0,"

Let $x \in X$. If $(p_n)$ is a sequence in $X$ s.t. whenever $y \neq x$, $y$ appears in $(p_n)$ at most once, then it is easy to check that $p_n \to x$.

Thus, at each round $n < \omega$, Player I can choose $U_n = (X \setminus \{p_0, \cdots, p_{n-1}\}) \cup \{x\}$, which is an open neighborhood of $x$. However Player II responds, it is clear that $(p_n)$ will satisfy the condition that, whenever $y \neq x$, $y$ appears in $(p_n)$ at most once. So, $p_n \to x$ and Player I wins.
"
S000016,P000191,False,0,"

A point $x \in X$ is a countable intersection of open sets if and only if $X \setminus \{x\}$ is a countable union of closed sets. Each closed proper subset of $X$ is finite, and a countable union of finite sets is countable. As $X \setminus \{x\}$ is uncountable, it is not a countable union of closed sets.
"
S000016,P000199,True,1,"

See {{mathse:3098561}}.
"
S000016,P000206,True,0,"

If $(U_n)$ are non-empty open sets then $\bigcap_n U_n$ has countable complement so is non-empty. Therefore player $2$ always wins."
S000016,P000208,True,0,"

The closed sets satisfy the descending chain condition, because all closed sets are finite except $X$.
"
S000017,P000033,False,1,"

See item #5 for space #20 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000017,P000039,True,1,"

If $A$ and $B$ are two nonempty open sets, then $X \setminus A$ and $X \setminus B$ are countable. Thus $X \setminus A \cup X \setminus B$ = $X \setminus (A \cap B)$ is countable and so $A \cap B$ is uncountable (and in particular, non-empty).

See item #4 for space #20 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000017,P000044,False,1,"

Write $X = A \cup B$ with $A$ and $B$ disjoint and $|X| = |A| = |B|$. Then $A$ and $B$ are homeomorphic to $X$ and thus connected.

Asserted in the General Reference Chart for space #20 in
{{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000017,P000065,True,1,"

By construction.
"
S000017,P000071,False,0,"

Suppose $A\subseteq X$ is infinite and let $(x_n)\subseteq A$ be a sequence of distinct elements of $A$. If $U_n = X\setminus \{x_m : m\geq n\}$ then the sequence $(U_n)$ is increasing, consists of open sets, and $\bigcup_n U_n = X$. If $A$ were relatively compact then there would be $n$ for which $A\subseteq U_n$. But $x_n\in A\setminus U_n$ so that's impossible.

So relatively compact subsets of $X$ are finite,
and if $X$ were {P71} it would be countable.
But $X$ is uncountable.
"
S000017,P000086,True,0,"

Follows by construction.
"
S000017,P000089,False,0,"

Any permutation of the space is a self-homeomorphism, as bijections preserve cardinality of sets and therefore openness. Thus, any derangement is a selfmap with no fixed points.
"
S000017,P000101,False,1,"

$f(x)=|x|$ is a continuous retraction whose image $[0,\infty)$ is not closed.
"
S000017,P000126,False,0,"

$[0, \infty)$ is neither closed nor open in $X$.
"
S000017,P000131,True,1,"

Let $A$ be an open set of $X$. From any open cover of $A$, pick one open set $B$. $X \setminus B$ is countable, hence $A \setminus B$ is countable (the points still needing to be covered), and we can find a countable subcover.

See item #2 for space #20 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000017,P000151,True,0,"

A winning strategy $\sigma$ may be defined such that $\sigma(\mathcal U_0)$ is an arbitrary element of $\mathcal U_0$, and we may choose a surjective $x(\mathcal U_0):\omega\to X\setminus\sigma(\mathcal U_0)$. Finally, let $\sigma(\mathcal U_0,\cdots,\mathcal U_n,\mathcal U_{n+1})$ be an arbitrary element of $\mathcal U_{n+1}$ covering $x(\mathcal U_0)(n)$.
"
S000017,P000168,True,0,"

Every countable subset is closed, which is one way to characterize {P168}.
"
S000017,P000172,True,0,"

If $p\in\overline{A}$ and $A$ is countable, then $p\in A$ so one can take a constant sequence. If $A$ is uncountable, pick any sequence $(x_\lambda)_{\lambda < \omega_1}$ of distinct points such that $x_\lambda\in A$. If $U$ is any neighourhood of $p$, then $x_\lambda\notin U$ for at most countably many $\lambda$. If $\beta$ is supremum of those $\lambda$, then $\beta < \omega_1$ since $\text{cf}(\omega_1) = \omega_1$, and so $x_\lambda\in U$ for $\lambda > \beta$. It follows that $(x_\lambda)_{\lambda < \omega_1}$ converges to $p$.
"
S000017,P000189,True,0,"

Since closed subsets properly contained in $X$ are countable, if $X$ were not $\sigma$-connected then it would be a countable union of countable sets, and so countable. But {S17|P65}.
"
S000017,P000206,True,0,"

If $(U_n)$ are non-empty open sets then $\bigcap_n U_n$ has countable complement so is non-empty. Therefore player $2$ always wins."
S000018,P000021,True,1,"

See item #7 for space #21 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000018,P000026,False,1,"

For any $D = \{(x_n, a_n)\ |\ n \in \omega\} \subset X \times \{0,1\}$, $U = \{(y,z)\ |\ y \neq x_n \text{ for any } n\}$ is a basic open set disjoint from $D$ and so $D$ is not dense.

Asserted in the General Reference Chart for space #21 in
{{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000018,P000033,False,0,"

The Kolmogorov quotient of $X$ is {S17}
and {S17|P33}.
"
S000018,P000037,False,0,"

The projection of $X$ onto the first component is a continuous map onto {S17}.
The {P37} property is preserved by continuous images.
But {S17|P37}.
"
S000018,P000039,True,0,"

$X$ is a product of two {P39} spaces,
as {S17|P39} and {S4|P39}.
"
S000018,P000065,True,1,"

By construction.
"
S000018,P000071,False,0,"

The Kolmogorov quotient of $X$ is {S17}
and {S17|P71}.
"
S000018,P000086,True,0,"

$X$ is a product of two {P86} spaces,
as {S17|P86} and {S4|P86}.
"
S000018,P000131,True,0,"

The Kolmogorov quotient of $X$ is {S17}
and {S17|P131}.
"
S000018,P000135,True,0,"

$X$ is {P135} as a product of two spaces with the property,
as {S17|P135} and {S4|P135}.
"
S000018,P000136,True,0,"

$X$ is a product of two {P136} spaces, as {S17|P136} and {S4|P136}.
"
S000018,P000147,True,0,"

The Kolmogorov quotient of $X$ is {S17}
and {S17|P147}.
"
S000018,P000151,True,0,"

The Kolmogorov quotient of $X$ is {S17}
and {S17|P151}.
"
S000018,P000165,False,0,"

Note that the Kolmogorov quotient of $X$, denoted by $Y$, is {S17}
and {S17|P165}. If $q:X\to Y$ is the Kolmogorov quotient map and $H\subseteq Y$ is a countable closed set and $U\supseteq H$ an open set such that there's no open set $V$ with $H\subseteq V\subseteq \text{cl}(V)\subseteq U$, then because $q$ has finite fibers, $H_0 = q^{-1}(H)$ is a countable closed set and $U_0 = q^{-1}(U)$ an open set. If there were open $V_0\subseteq X$ such that $H_0\subseteq V_0\subseteq \text{cl}(V_0)\subseteq U_0$, then $H\subseteq q(V_0)\subseteq \text{cl}(q(V_0)) \subseteq U$ where $V = q(V_0)$ is open, contradiction. So $X$ is not pseudonormal.
"
S000018,P000172,True,0,"

The Kolmogorov quotient of $X$ is {S17}
and {S17|P172}.
"
S000018,P000189,True,0,"

The Kolmogorov quotient of $X$ is {S17}
and {S17|P189}.
"
S000018,P000206,True,0,"

The Kolmogorov quotient of $X$ is {S17}
and {S17|P206}.
"
S000019,P000016,True,1,"

See item #4 for space #22 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000019,P000039,True,1,"

Let $U_1$ and $U_2$ be nonempty open sets in $X$.  Their complements $C_1$ and $C_2$ are compact in the Euclidean topology, and so is their union $C_1\cup C_2$, which cannot be the whole of $X$ since $\mathbb{R}$ is not compact in the Euclidean topology.  This shows that the intersection of $U_1$ and $U_2$ is not empty.

See item #3 for space #22 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000019,P000043,True,1,"

See {{mathse:2272196}}.
"
S000019,P000056,True,1,"

For any $n \in \omega$, let $I_n$ denote the interval $(n, n+2)$. $\overline {I_n} = [n, n+2]$ and $int (\overline{I_n}) = \emptyset$ since any open set in $X$ is unbounded. Clearly $X = \bigcup_{n \in \omega} I_n$, so $X$ is meager.

Asserted in the General Reference Chart for space #22 in
{{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000019,P000068,False,0,"

It is easy to check being {P68} passes to closed subspaces. Since $[0,1]$ is a closed subspace which is
homeomorphic to {S158} and {S158|P68}, the result follows.
"
S000019,P000086,True,0,"

Follows by construction (since {S25} is).
"
S000019,P000089,False,0,"

The map $f(x) = x+1$ is continuous and it has no fixed points.
"
S000019,P000095,True,0,"

For a bounded set $A\subseteq\mathbb R$, its subspace topology induced from $X$ coincides with the Euclidean topology induced from $\mathbb R$.
So given distinct points $a<b$ in $X$ there is an arc from $a$ to $b$,
since the interval $[a,b]\subseteq X$ is homeomorphic to $[0,1]\subseteq\mathbb R$.
"
S000019,P000096,False,0,"

Every unbounded set $A\subseteq X$ with its subspace topology is {P39},
hence not homeomorphic to $[0,1]$.
Hence any embedding $f:[0,1]\to X$ must have a bounded image.
And since for a bounded set the subspace topology coincides with the induced Euclidean topology,
$f$ must be a path in the Euclidean space $\mathbb R$.

Now let $x\in X$ and consider the open set $U=(-\infty,x+1)\cup(x+2,+\infty)$.
Any open neighborhood $V$ of $x$ contained in $U$ would have to contain a point $y>x+2$.
But there is no Euclidean path $f:[0,1]\to U$ from $x$ to $y$.
So $V$ cannot be {P95}.
"
S000019,P000101,False,0,"

The map $f(x) = |x|$ is a retraction of $X$ onto $A = [0, \infty)$ which is not closed in $X$.
"
S000019,P000110,True,0,"

Let $\mathcal{U}_n = \{(-\frac{1}{2n}+x, \frac{1}{2n}+x)\cup (-\infty, -n)\cup (n, \infty) : x\in X\}$, then $\mathcal{U}_n$ is an open cover of $X$ and $\text{St}(x, \mathcal{U}_n) = (-\frac{1}{n}+x, \frac{1}{n}+x) \cup (-\infty, -n)\cup (n, \infty)$ for $|x| < n$, so that $(\text{St}(x, \mathcal{U}_n))_{n=1}^\infty$ is a local base at $x\in X$.
"
S000019,P000130,True,0,"

The sets $A_n = (-\infty, -n]\cup [x-\frac{1}{n}, x+\frac{1}{n}] \cup [n, \infty)$ form a local base of compact neighbourhoods at $x\in X$.
"
S000019,P000142,False,0,"

Suppose that $K\subseteq X$ is compact Hausdorff. Then $K\cap [a, b]$ is a compact subset of $[a, b]\subseteq X$, where the topology on $[a, b]$ coincides with the Euclidean topology. It follows that $K$ is closed in the Euclidean topology. If $K$ were unbounded, and if $K_1, K_2\subseteq K$ are compact sets in the Euclidean topology, then $(K\setminus K_1)\cap (K\setminus K_2)\neq\emptyset$ so that $K$ is not Hausdorff in the subspace topology coming from $X$. It follows that compact Hausdorff subsets of $X$ are precisely the subsets compact in the Euclidean topology. The topology which those sets determine is the Euclidean topology (since {S25|P140}) and not the topology of $X$, so that $X$ is not a $k_3$-space.
"
S000019,P000199,True,1,"

See {{mathse:5069153}}.
"
S000019,P000208,False,0,"

The closed sets different from $X$ are exactly the compact sets in {S25}. However, they don't satisfy the descending chain condition: we have $Y_1 \supsetneq Y_2 \supsetneq \cdots$ where $Y_n = \left\{ 0, \frac 1n, \frac 1 {n + 1}, \frac 1 {n + 2}, \dots \right\}$.
"
S000020,P000016,True,1,"

Let $\mathcal{A}$ be an open cover of $X$. There must exist some set $A_p \in \mathcal{A}$ where $p \in A_p$. Thus, $X \setminus A_p$ is finite. Let $X \setminus A_p = \{x_1, x_2, \dots, x_n\}$.

For each $i$, pick $A_i \in \mathcal{A}$ (not necessarily distinct) with $x_i \in A_i$. The collection $\{A_p,A_1,\dots,A_n\}$ is a finite subcover.

See item #4 for space #23 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000020,P000181,True,0,"

By definition.
"
S000020,P000190,True,0,"

By definition.
"
S000020,P000203,True,0,"

All points except $\infty$ are isolated.
"
S000021,P000003,True,1,"
Let $x \ne 0 \in H$.  Then the map $f(z) = \langle z, x \rangle$ is
continuous with respect to the weak topology and satisfies $f(0) = 0$
and $f(x) = \langle x,x \rangle > 0$.  So $0$ and $x$ are separated by
disjoint open sets.  It follows, since we are in a topological vector
space, that any two points $x,y$ are separated by disjoint open sets.

See 28.15 of {{doi:10.1016/B978-0-12-622760-4.X5000-6}}.
"
S000021,P000012,True,1,"
Let $x$ be a point and $E$ a closed set with respect to the weak
topology.  Since we are in a topological vector space, we can assume
without loss of generality that $x = 0$.  By definition of the
topology, there exists a number $\epsilon > 0$ and finitely many
elements $x_1, \dots, x_n \in H$ such that the basic open set $U = \{ y :
|\langle y, x_i \rangle| < \epsilon, i = 1, \dots, n\}$ is disjoint
from $E$.  Note $0 \in U$.  Then the function $f(y) = \sum_{i=1}^n
|\langle y, x_i \rangle|$ satisfies $f(0) = 0$ and $f \ge \epsilon$ on
$E$.

See 26.30 of {{doi:10.1016/B978-0-12-622760-4.X5000-6}} for a more
general assertion that every topological vector space is completely
regular.
"
S000021,P000023,False,1,"
According to 27.17 of {{doi:10.1016/B978-0-12-622760-4.X5000-6}},
every locally compact Hausdorff topological vector space is finite
dimensional.  However, $H$ is infinite dimensional.
"
S000021,P000026,True,1,"
As noted in 28.13 of {{doi:10.1016/B978-0-12-622760-4.X5000-6}}, all open sets in the weak topology are open in the original, so any countable dense subset of $H$ with its original separable topology remains dense in the weak topology.
"
S000021,P000043,True,1,"
$H$ with the weak topology is a locally convex topological vector
space (see 28.15 of {{doi:10.1016/B978-0-12-622760-4.X5000-6}}), which
means that every point has a neighborhood basis of convex sets.  Any
two points in a convex set are joined by a line segment, which is an
injective path that stays within the set.
"
