prostor,uid,št. aliasov,št. sklicev,opis
Excluded Point Topology on a Three-Point Set,S000011,1,2,"Let $X=\{0,1,2\}$ be a finite set with three elements.
A set is closed in this topology if it contains the particular point $p=0$ or is empty.  A set is open if it does not contain $p$ or is the whole space.

Defined as counterexample #13 (""Finite Excluded Point Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Excluded Point Topology on a Countably Infinite Set,S000012,1,2,"Let $X=\omega=\{0,1,2,\dots\}$.
A set is closed in this topology if it contains $0$ or is empty.

Defined as counterexample #14 (""Countable Particular Point Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}.

<!-- [[Proof of Topology]]
To prove the first condition, note that $X\in \tau$ by definition. Now, note that $\emptyset \subset X$ and $p\notin \emptyset$. It follows that $\emptyset \in \tau$.
Now to prove the second condition, consider $\bigcup_{i\in I} U_i$ where $I$ is some arbitrary indexing set. It follows that there are two cases, either $p\in \bigcup_{i\in I} U_i$ or $p\notin \bigcup_{i\in I} U_i$. For the case in which $p$ is in the union, it must be the case that $X$ is in the union, because the only open set containing $p$ is $X$. It follows then that the union is $X$. So in this case, the second condition holds. To prove the second case, when $p$ is not in the union, we simply have an arbitrary union of subsets of $X$ which must be a subset of $X$ that does not contain $p$. So, the second condition holds for this case.
To prove the final condition, consider $\bigcap_i^n U_i$. Again, there are two cases here, either $p$ is in the intersection, or it is not. For when $p$ is in the intersection, note that every open set other than $X$ does not contain $p$. So for $p$ to be in the intersection, it must be the case that $X$ is the only set in the intersection and thus it is open. Now if $p$ is not in the intersection, it must be a subset of $X$ that does not contain $p$. So in both cases, the intersection is open, and thus the final condition holds and $\tau$ is a topology on $X$.
 -->"
Excluded point topology on $\mathbb R$,S000013,1,2,"Let $X=\mathbb R$ be the set of real numbers.  A set is open in this
topology if it excludes a particular point $p=0$ or is the whole space.

Defined as counterexample #15 (""Uncountable Excluded Point Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Either-Or Topology,S000014,0,2,"Let $X = [-1,1]$ as a set and declare $U \subset X$ open if and only if $0 \not\in U$ or $(-1,1) \subset U$.

The space is homeomorphic to the topological sum of
{S13} and {S1}.
(The sets $\{-1\}$, $\{1\}$, $(-1,1)$ form a partition of $X$ into clopen sets.
And the subspace topology on the interval $(-1,1)$ is an ""excluded point topology"" on a set of cardinality $\mathfrak c$.)

Defined as counterexample #17 (""Either-Or Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Cofinite topology on $\omega$,S000015,2,2,"The finite complement topology on a space $X$ is defined by taking
$U \subset X$ to be open if and only if $X \setminus U$ is finite or
$U = \emptyset$. In this case we let \(X=\omega=\{0,1,2,\dots\}\).

Defined as counterexample #18 (""Finite Complement Topology on a Countable Space"")
in {{doi:10.1007/978-1-4612-6290-9}}.

<!-- [[Proof of Topology]]
When know that $U = \emptyset$ is open by definition. Now let $U = X$. This implies $X/U = X/X = \emptyset$. Now let $A$ be a collection of open sets in $X$. Let $U = \bigcup\limits_{i=1}^{\infty}a_i$ where $a_i \in U$ (show that $X/U$ is finite or $\emptyset$). So, $X/U = X /\bigcup\limits_{i=1}^{\infty}a_i = (X/ a_i) \cap (X/a_{i+1}) \cap \dots$. An arbitrary intersection of finite sets is finite. Now let $A$ be a collection of open sets in $X$. Let $U = \bigcap\limits_i^j a_i$ where $a_i \in A$. So, $X/U = X/\bigcap\limits_i^j a_i = (X/a_i) \cup (X/a_{i+1}) \cup \dots \cup (X/a_j)$. A finite union of finite sets is finite. -->"
Cofinite topology on $\mathbb R$,S000016,3,2,"The finite complement topology on a set $X$ is defined by taking
$U \subset X$ to be open if and only if $X \setminus U$ is finite or
$U = \emptyset$. In this case we let \(X=\mathbb R\) so it has cardinality
\(\mathfrak c\).

Defined as counterexample #19 (""Finite Complement Topology on an Uncountable Space"")
in {{doi:10.1007/978-1-4612-6290-9}}.

<!-- [[Proof of Topology]]
1) $U = \emptyset$ is open by definition. Now let $U = X$. This implies $X/U = X/X = \emptyset$.

2) Let $A$ be a collection of open sets in $X$. Let $U = \bigcup\limits_{i=1}^{\infty}a_i$ where $a_i \in U$. We want to show that $X/U$ is finite or $\emptyset$. So, $X/U = X /\bigcup\limits_{i=1}^{\infty}a_i = (X/ a_i) \cap (X/a_{i+1}) \cap \dots$. An arbitrary intersection of finite sets is finite.

3) Let $A$ be a collection of open sets in $X$. Let $U = \bigcap\limits_i^j a_i$ where $a_i \in A$. So, $X/U = X/\bigcap\limits_i^j a_i = (X/a_i) \cup (X/a_{i+1}) \cup \dots \cup (X/a_j)$. A finite union of finite sets is finite. -->"
Cocountable topology on $\mathbb R$,S000017,2,2,"Let $X=\mathbb R$ be the set of real numbers.  Define the topology on $X$ by letting a set in $X$ be open iff it is empty or its complement is countable. 

Defined as counterexample #20 (""Countable Complement Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Double pointed cocountable topology on $\mathbb R$,S000018,1,1,"$X$ is the product of {S17} with {S4}.

Defined as counterexample #21 (""Double Pointed Countable Complement Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Compact Complement Topology for the Euclidean Real Numbers,S000019,1,2,"Define a topology $\tau$ on $\mathbb{R}$ by letting $U \subset \mathbb{R}$ be open if and only if $\mathbb{R} \setminus U$ is compact in the usual Euclidean topology or $U=\emptyset$.

Note that this topology is coarser than {S25}.

Defined as counterexample #22 (""Compact Complement Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Fort space on a countably infinite set,S000020,3,2,"Let $X=\omega\cup\{\infty\}=\{0,1,2\dots\}\cup\{\infty\}$.
Define $U \subseteq X$ to be open if its complement either is finite or includes $\infty$.

This space is the one-point compactification of a countably infinite discrete space.
It is homeomorphic to $\{0\}\cup\{2^{-n}:n<\omega\}$ as a subspace of {S25},
and is also homeomorphic to the ordinal space $\omega+1$.

Defined as counterexample #23 (""Countable Fort Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Weak topology on separable Hilbert space,S000021,0,3,"Let $H$ be a infinite-dimensional separable real Hilbert space (such
as the space $l^2$ of square-summable sequences) with inner product
$\langle \cdot, \cdot \rangle$.  (All such spaces are isometrically
isomorphic.)  The continuous dual $H^*$ is the set of all linear
functionals $f : H \to \mathbb{R}$ that are continuous with respect to
the topology generated by the inner product.  By the Riesz
representation theorem, every such functional $f$ is of the form $f(x)
= \langle x, y \rangle$ for some $y \in H$.

The weak topology on the set $H$ is the coarsest topology such that
every element of $H^*$ is continuous.  That is, a basis for this
topology at $x \in H$ is the collection of all sets of the form $\{ y
\in H : |\langle y -x , x_i\rangle| < \epsilon, i = 1, \dots, n \}$
for some $x_1, \dots, x_n \in H$ and some $\epsilon > 0$.

See Definition 5.1.1 of {{doi:10.1007/978-93-86279-42-2}} or 28.16 of
{{doi:10.1016/B978-0-12-622760-4.X5000-6}}.  Note that the weak
topology on $H$ is homeomorphic to the weak-\* topology on $H^*$."
Fortissimo space on $\mathbb R$,S000022,1,2,"Let $X=\mathbb R$ and let $p$ be a distinguished point of $X$.
Every point not equal to $p$ is isolated and the open neighborhoods of $p$ are the cocountable subsets of $X$ containing that point.

This space is the one-point Lindelöfication of an uncountable discrete space.

Compare with {S155} and {S157}.
With a suitable assumption on $|\mathbb R|$ so that the cardinalities match, $X$ will be homeomorphic to one of them.

Defined as counterexample #25 (""Fortissimo Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Arens-Fort Space,S000023,0,2,"Let $X = \{(n,m) : n,m \in \omega\}$ with all singletons
except $\{(0,0)\}$ open.
Define a set containing $(0,0)$ to be open if and only if it contains all but
a finite number of points in all but a finite number of columns.

Defined as counterexample #26 (""Arens-Fort Space"")
in {{doi:10.1007/978-1-4612-6290-9}}.

This space is homeomorphic to a subspace of {S156}."
Modified Fort space on $\mathbb R$,S000024,0,2,"Let $X=\mathbb{R}\cup\{\infty_1,\infty_2\}$.
Every point of $\mathbb R$ is isolated and the open neighborhoods of each point $\infty_i$ are the cofinite subsets of $X$ containing the point.

Defined as counterexample #27 (""Modified Fort Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Euclidean real numbers $\mathbb R$,S000025,2,2,"The usual topology on \(\mathbb R\) with a topology generated by the basis
of open intervals \(\{(a,b):a<b\in\mathbb R\}\).

Defined as counterexample #28 (""Euclidean Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Cantor space $2^\omega$,S000026,1,2,"$X = 2^\omega$ with the product topology.

Equivalently, $X$ may be defined geometrically using the 'middle-thirds' construction, so $X = [0,1]\setminus \bigcup_{m=1}^\infty \bigcup_{k=0}^{3^{m-1}-1} \left(\frac{3k+1}{3^m},\frac{3k+2}{3^m}\right)$.

Defined as counterexample #29 (""The Cantor Set"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Rational numbers $\mathbb Q$,S000027,3,4,"Let $X=\mathbb Q$, the set of rational numbers, with the subspace topology induced from {S25}.

Defined as counterexample #30 (""The Rational Numbers"")
in {{doi:10.1007/978-1-4612-6290-9}}.

----
A purely topological characterization of the space $\mathbb Q$, due to Sierpinski, is given by the following equivalent theorems:
- Every countably infinite, {P53} space without isolated point is homeomorphic to $\mathbb Q$.
- Every countably infinite, {P5}, {P28} space without isolated point is homeomorphic to $\mathbb Q$.

For a proof, see [Countable metric spaces without isolated points (A. Dasgupta)](http://at.yorku.ca/p/a/c/a/25.pdf) or {{doi:10.48550/arXiv.1210.1008}}.
And for the equivalence between the two theorems, the second one easily follows from the first; and the reverse direction follows from {T212} together with Urysohn's metrization theorem.

----
It follows for example that the following spaces are homeomorphic to $\mathbb Q$.

(1) The space $\mathbb{Z}$ with the **Furstenberg topology**, generated by all sets of
the form $a + k \mathbb{Z} = \{a+kn : n\in\mathbb{Z}\}$ with $a\in\mathbb Z$ and positive integer $k$.

Defined as counterexample #58 (""**Evenly Spaced Integer Topology**"")
in {{doi:10.1007/978-1-4612-6290-9}}.

(2) The space $\mathbb{Z}$ with the topology generated by all sets of the form $a+p^\alpha\mathbb Z=\{a+p^\alpha n:n\in\mathbb Z\}$ with $a\in\mathbb Z$ and non-negative integer $\alpha$.  Here $p$ is a fixed prime.

Defined as counterexample #59 (""**The $p$-adic Topology on $\mathbb{Z}$**"")
in {{doi:10.1007/978-1-4612-6290-9}}.

(3) The product space $\mathbb Q \times \mathbb Q$.

(4) The Sorgenfrey topology on $\mathbb Q$, generated by all half-open intervals $[p,q)\cap\mathbb Q$ with $p,q\in\mathbb Q$."
Irrational numbers $\mathbb R\setminus\mathbb Q$,S000028,3,4,"Let $X$ be the complement of the rational numbers in $\mathbb{R}$ with the subspace topology.

This space is homeomorphic to the *Baire space* $\omega^\omega$ with the
product topology.  See for example {{mathse:352547}}.

Defined as counterexample #31 (""The Irrational Numbers"")
in {{doi:10.1007/978-1-4612-6290-9}}.
Also defined as counterexample #102 (""$\mathbb Z^{\mathbb Z}$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
One-point compactification of $\mathbb Q$,S000029,1,2,"The space $X = \mathbb{Q} \cup \{\infty\}$ is the Alexandroff one-point compactification of {S27}.
The open sets in $X$ are the open subsets of $\mathbb Q$ together with the sets $X\setminus C$ with $C$ compact in $\mathbb Q$.

Defined as counterexample #35 (""One Point Compactification of the Rationals"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Countable product of reals $\mathbb R^\omega$,S000030,5,4,"The countable product of copies of {S25}.

This space is homeomorphic to the space $\ell^2$ of all sequences $x = \langle x_i \rangle$ of real numbers such that $\Sigma x_i^2$ converges, with topology generated by the metric $d(x,y) = \sqrt{\Sigma(x_i - y_i)^2}$. For this deep result due to R. D. Anderson, see for example {{doi:10.1090/S0002-9904-1968-12044-0}}.
Note also that any separable Hilbert space is isomorphic to $\ell^2$.

More generally, any infinite-dimensional separable Banach space or, even more generally, any infinite-dimensional separable Fréchet space is homeomorphic to $\mathbb R^\omega$. This is stated in Theorem VI.5.2 (Anderson-Kadec) on page 189 of {{mr:0478168}}. See also {{wikipedia:Anderson–Kadec theorem}}.

In particular, the following are all homeomorphic as topological spaces:
- $\mathbb R^\omega$
- Sequence spaces $\ell^p$ ($1 \leq p < + \infty$)
- Spaces $L^p([0,1])$ ($1 \leq p < + \infty$) of Lebesgue measurable functions with finite $L^p$-norm
- The Banach space $C([0,1])$ of real-valued continuous functions on $[0,1]$ with the supremum norm

Moreover, by Theorem VI.2.1, Corollary VI.2.2, and Theorem VI.5.1 of {{mr:0478168}} and Corollary 9.3 of {{doi:10.1090/S0002-9904-1968-12044-0}}, the following are also homeomorphic to $\mathbb R^\omega$:
- The closed upper half-space of $\ell^2$, i.e., $\{\langle x_i \rangle \in \ell^2: x_1 \geq 0\}$, given the subspace topology
- The subspace of $\ell^2$ consisting of all elements with infinitely many nonzero entries, i.e., $\{\langle x_i \rangle \in \ell^2: x_i \neq 0 \text{ for infinitely many } i\}$, given the subspace topology
- The cone over $\mathbb R^\omega$, i.e., the quotient of $\mathbb R^\omega \times [0, 1]$ with $\mathbb R^\omega \times \{0\}$ identified to a single point
- The open cone over $\mathbb R^\omega$, i.e., the quotient of $\mathbb R^\omega \times [0, \infty)$ with $\mathbb R^\omega \times \{0\}$ identified to a single point
- The unit sphere of any infinite-dimensional separable Banach space, i.e., $\{x \in E: \|x\| = 1\}$ where $E$ is an infinite-dimensional separable Banach space under the norm $\|\cdot\|$, given the topology generated by the metric $d(x,y) = \|x-y\|$; in particular, the unit sphere of $\ell^2$
- The closed unit ball of any infinite-dimensional separable Banach space, i.e., $\{x \in E: \|x\| \leq 1\}$ where $E$ is an infinite-dimensional separable Banach space under the norm $\|\cdot\|$, given the topology generated by the metric $d(x,y) = \|x-y\|$; in particular, the closed unit ball of $\ell^2$

Specific instances of the above are counterexamples #36 (""Hilbert Space""), #37 (""Fréchet Space""), and #108 (""$C[0,1]$"")  in {{doi:10.1007/978-1-4612-6290-9}}."
Square of one-point compactification of $\mathbb Q$,S000031,1,1,The space $X$ is the product $\mathbb Q^*\times \mathbb Q^*$ with $\mathbb Q^*=\mathbb Q\cup\{\infty\}$ equal to {S29}.
"Hilbert cube $[0,1]^\omega$",S000032,0,2,"$X = [0,1]^\omega$ with the product topology.

Defined as counterexample #38 (""Hilbert Cube"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Ordinal space $\omega+\omega$,S000033,1,1,"The set of all ordinal numbers less than the 
ordinal $\omega+\omega$, paired with the order topology.

Defined as counterexample #40 (""Open Ordinal Space $[0,\Gamma)$"")
in {{doi:10.1007/978-1-4612-6290-9}},
more generally for any limit ordinal $\Gamma<\omega_1$."
Ordinal space $\omega+\omega+1$,S000034,1,1,"The set of all ordinal numbers less than or equal to the
ordinal $\omega+\omega$, paired with the order topology.

Defined as counterexample #41 (""Closed Ordinal Space $[0,\Gamma]$"")
in {{doi:10.1007/978-1-4612-6290-9}}, more generally for any limit ordinal
$\Gamma<\omega_1$."
Ordinal space $\omega_1$,S000035,1,1,"The set of all ordinal numbers less than the least uncountable ordinal $\omega_1$, paired with the order topology.

Defined as counterexample #42 (""Open Ordinal Space $[0,\Omega)$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Ordinal space $\omega_1+1$,S000036,1,1,"The set of all ordinal numbers less than or equal to
the least uncountable ordinal $\omega_1$, paired with the order topology.

Defined as counterexample #43 (""Closed Ordinal Space $[0,\Omega]$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
$\omega_1+1$ with endpoint doubled,S000037,1,1,"Let $\omega_1$ be the first uncountable ordinal.  Take $\omega_1+1=[0,\omega_1]$ with its usual order topology and then split the maximum point into two points, similar to the construction of {S65}.  In other words, take $X=[0,\omega_1]\cup\{\omega'_1\}$ where sets of the form $(\beta,\omega_1)\cup\{\omega'_1\}$ with $\beta<\omega_1$ form a neighborhood basis at $\omega'_1$.

See Example 1 in {{mathse:4268177}}."
Long ray,S000038,1,2,"The lexicographic order topology on $X=\omega_1 \times [0,1)$.

Defined as counterexample #45 (""The Long Line"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Closed long ray,S000039,1,1,"The unique (one-point) compactification of {S38}. Equivalently,
the space $\omega_1\times[0,1)\cup\{\langle\omega_1,0\rangle\}$
with the lexicographic order topology.

Defined as counterexample #46 (""The Extended Long Line"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Altered long ray,S000040,1,1,"$X=Y\cup\{\infty\}$,
where $Y=\omega_1\times[0,1)$ with its lexicographic topology is an open copy
of {S38}, and each neighborhood of $\infty$ contains some
$U_\alpha=\{\infty\}\cup\Big(\big(\omega_1\setminus\alpha\big) \times (0,1)\Big)$.

Defined as counterexample #47 (""An Altered Long Line"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Lexicographic unit square,S000041,1,1,"The space $[0,1] \times [0,1]$ with the order topology generated by the
lexicographical order.

Defined as counterexample #48 (""Lexicographic Ordering on the Unit Square"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Right ray topology on the reals,S000042,3,1,"The space $\mathbb R$ of real numbers with a basis of right rays of the form
$B_y=\{x\in\mathbb R:y<x\}$.
(Equivalently, one could use the basis of left rays $B_y=\{x\in\mathbb R:x<y\}$ instead.)

Defined as counterexample #50 (""Right Order Topology on $\mathbb R$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Sorgenfrey line,S000043,2,2,"Let $X$ be the set $\mathbb{R}$ with a basis consisting of all intervals of the form $[a,b)$ for $a,b \in X$.

Defined as counterexample #51 (""Right Half-Open Interval Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Nested interval topology,S000044,0,2,"Let $X$ be the interval $(0,1)$ with the topology
$\{\emptyset,X\}\cup\{(0,\frac{1}{2}),(0,\frac{2}{3}),(0,\frac{3}{4}),\dots\}$.

Equivalently, the product of {S199}
and {S194}.

Defined as counterexample #52 (""Nested Interval Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Overlapping interval topology,S000045,0,2,"Let $X$ be the set $[-1,1]$ with topology generated by the subbasis of all sets of the form $[-1,b)$ with $b>0$ and $(a,1]$ with $a < 0$. Note that any $(a,b)$ with $a < 0 < b$ is open in $X$ and so this topology is coarser than the Euclidean topology on $[-1,1]$.

Defined as counterexample #53 (""Overlapping Interval Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Interlocking interval topology,S000046,0,1,"Let $X = (0,\infty)\setminus\mathbb Z$, the set of positive real numbers excluding the integers.  Let $S_n = (0,1/n) \cup (n,n+1)$ for $n \geq 1$. Define a topology on $X$ by taking $\{S_n\}$ as a subbase.

A base for the topology is given by the sets $S_n$ for $n\ge 1$ together with the intervals $(0,1/n)$ for $n\ge 2$.

Defined as counterexample #54 (""Interlocking Interval Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Countable sum of Sierpinski spaces,S000047,1,1,"Let $X$ be the set of positive integers and define a topology by declaring $U \subseteq X$ to be open if for every odd $p \in U$, $p+1 \in U$. Equivalently, $A \subseteq X$ is closed iff for every even $p \in A$, $p-1 \in A$.

This space is a topological sum of countably-many copies of the {S10}.

Defined as counterexample #55 (""Hjalmar Ekdal Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}.

A piece of trivia: the origin of the name Hjalmar Ekdal is explained [here](https://proofwiki.org/wiki/Mathematician:Hjalmar_Ekdal).


<!-- [[Proof of Topology]]
1. Note that $X$ contains all positive integers thus every integer $p$ is in $X$ thus $X$ is open. See that $\emptyset$ contains no integers therefore $\emptyset$ satisfies the condition vacuously therefore it is open.

2. Let $\left\{U_i | i \in I \right\}$ be an arbitrary collection of open sets. Consider any odd $p \in \bigcup\limits_{i \in I} U_i$ since every $U_i$ is open this means $p+1$ is also in the union therefore the union is open.

3. Given any intersection $\bigcap\limits_{n=1}^N U_n$ with $U_n$ an open set and $N \in \mathbb{N}$. Given an odd $p \in \bigcap\limits_{n=1}^N U_n$ then $p \in U_n$ for all $n \leq N$. Thus by definition of open $p+1$ also exists in $U_n$ for all $n \leq N$ therefore $p+1 \in \bigcap\limits_{n=1}^N U_n$ thus $\bigcap\limits_{n=1}^N U_n$ is open. -->"
Cofinite topology on $\omega$ extended by a non-open generic point,S000048,2,2,"Let $X = \omega \sqcup \{p\}$. A nonempty set is open if and only if it contains $p$ and has a finite complement. Hence the subspace $\omega \subseteq X$ equals {S15}. Note that $p$ is a generic point of $X$ and $\{p\}$ is not open; see {P201}.

$X$ is homeomorphic to the set of prime ideals of the ring $\mathbb{Z}$ with basis consisting of the sets $V_x = \{P \in X : x \notin P\}$ for all $x \in \mathbb{Z}_{n\ge 0}$. The zero ideal identifies with the generic point $p \in X$. This is the Zariski topology on $\mathrm{Spec}(\mathbb{Z})$, the prime spectrum of the ring of integers. See {{wikipedia:Zariski_topology}} for the general construction of the Zariski topology on the prime spectrum of a commutative ring.

Appears as counterexample #56 (""Prime Ideal Topology"") in {{doi:10.1007/978-1-4612-6290-9}}."
Divisor topology,S000049,0,2,"Let $X = \{x \in \mathbb{N} : x \geq 2\}$ with topology generated by all $U_n = \{x \in X : x$ divides $n\}$ for $n \in X$.

Defined as counterexample #57 (""Divisor Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}.

<!-- [[Proof of Topology]]
To prove the set $\mathscr{B}=\{B_n : n\in X\}$ is a basis for a topology on $X$, we must prove:
$$\text{ For every } x\in X \text{ there exists some } B_n \text{ such that } x\in B_n$$
$$\text{ If }x\in B_a \cap B_b, \text{ there exists some } B_c \text{ such that } x\in B_c\subset B_a\cap B_b$$
To prove the first condition, note that for every $x\in X$, $x$ divides $x$. So by definition, $x \in B_x$.
To prove the second, let $x\in B_a\cap B_b$. It follows that $x\in B_a$ and $x\in B_b$ This is to say, $x$ is a common divisor of $a$ and $b$. Note that if $x \in B_n$, it follows that $x$ divides $n$. Therefore, all of the divisors of $x$ divide $n$ and thus are in $B_n$. The set $B_x$ is the set of all divisors of $x$, so $x\in B_x \subset B_a\cap B_b$. We have shown that both conditions hold, so therefore the set $\mathscr{B}$ is a basis for topology on $X$.
 -->"
$\mathbb Q$ extended by a focal point,S000050,3,0,"Let $X = \mathbb{Q} \cup \{\infty\}$, where $\mathbb{Q}$ has the usual topology
of {S27} and is open in $X$,
and the only neighborhood of $\infty$ is $X$.
See {P202}."
Khalimsky line,S000051,1,2,"The integers $\mathbb Z$ with $\{\{2i-1,2i,2i+1\}\mid i\in\mathbb Z\}\cup\{\{2i+1\}\mid i\in\mathbb Z\}$ as a basis for the topology.

It is the unique {P205} such that no proper subspace is also a cut point space.
See Theorem 4.5 of {{doi:10.1090/s0002-9939-99-04839-x}} for a proof.

Also named the *digital line* in the subject of digital topology, e.g. in {{doi:10.32219/isms.80.1_15}}."
Relatively prime integer topology,S000052,1,2,"Let $X=\mathbb{Z}^+$, the set of positive integers.  For $a,b \in X$, let $U_a(b) = \{b+na \in X : n \in \mathbb{Z}\} = (b+a\mathbb{Z})\cap X$.  Then $\{U_a(b) : a,b \in X, gcd(a,b)=1\}$ forms a basis for the relatively prime integer topology on $X$.

Defined as counterexample #60 (""Relatively Prime Integer Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
